hash,project,true_message,generated_message
be8d91f0ef07a7f16b26f211ebdc33ef7343ec1f,csstree_csstree,add support for single solidus hack for property(),"""Refactored hack detection in names.js and added test case for '/' as potential hack"""
1d8f1560455aee983dd4733f3ae15c77b4f86823,jazzband_inflect,Fix file path to words.txt as it is in the same folder as test_pl_si.py,"Refactored test file path, simplified import and improved code organization by moving comments and unused imports to comments (WIP: Remove unused imports)"
736e417530a1088db9f5c190cfd2de37f0abbe82,yob_pdf-reader,"Read and parse glyph list once only, and cache the results (for performance)",Updated `PDF::Reader::GlyphHash`: Cached Adobe Glyph Mapping and Froze the Glyphs array for performance improvement.
f4a7f5e406ee83b6708d6b1e042ab6213fda5b51,0k_shyaml,"fix: dev: avoid DRY, use entrypoint !minor

And fixes coverage.",Updated main function to call entrypoint function instead of directly executing main() when running as standalone script.
4fb7541da2bc0eb273e2f9bf771cbab873eb7d43,next-l_enju_biblio,added redirect next-l/enju_leaf#<I>,"Added redirect route for manifestation items list and modified manifestations resources to include nested routes for agents and produces

PS: To make it more descriptive, I would suggest ""Added redirect for manifestation items list and updated Manifestations resources with nested routes for Agents and Produces""."
825d70cea1f733d3335876879b47c94dc6fa6464,saltstack_salt,"Default master config for using LocalClient w/o params

Default master config is located at /etc/salt/master:
<URL>","Updated Salt LocalClient initialization to connect to salt master via '/etc/salt/master' configuration file, resolving an issue where it was connecting via the default 'minion' file. (#123)"
13b6945a456598154f76c1af8ee324faf80747f0,PMEAL_OpenPNM,changing xdf to xmf as default file extension,Commit Message: Update file extensions for XDMF and GenericIO modules to conform with XMDF standards (xdf becomes xmf) and enhance parsing functionality
19bb28468b07d69e8aacfed11920d2117f253ae1,locomotivemtl_charcoal-attachment,Moved default-data merging to constructor,"📦 Added constructor and default data handling to Attachment class, and improved dependency injection

- Added constructor method for Attachment class to initialize object with default dependencies and optional user data.
- Modified the defaultData function to provide a way to set initial data when constructing an instance of the Attachment class.
- Updated the dependency injection process by setting collectionLoader through the container in the __construct() method, and making sure it's available for use throughout the class."
979c5cdb4388c06267533330d8c06faca1ee6d6a,oliviertassinari_react-swipeable-views,"[touch] improve swiping experience

Reset the start X position when swiping in the wrong direction.
So that the swipe right away when the user realise that is his going
in the wrong directino.","""Added touch start position for SwipeableViews on out-of-bounds swipes""

The added lines (this.startX = touch.pageX) will help keep track of the starting x-coordinate when swiping outside of the bounding index range, making the swipe gesture more intuitive and consistent for users."
15744e4894f103343fd9a42623a8bab2476ca630,phusion_passenger,Make the gem installable on mingw<I> Ruby.,"Refactored download_binaries/extconf.rb script to support Mingw in addition to mswin and win32 platforms, allowing installation on Windows with Mingw Ruby versions."
9f0a9969e9c71b8a56bc511e563a20f7da379011,ninja_ninja,"More Globals

Adds globals allowed for QUnit and the browser, itself.","Added browser global allowance to JSHint task configuration and updated QUnit globals in test task

I have added an option for browser globals in the JSHint task configuration, allowing the usage of such variables within your code. Additionally, I have updated the list of QUnit globals allowed in the test task, ensuring proper linting when using these specific functions."
ec6fa24e33dc7f028c67dc26380b32bb3854cb0e,HazyResearch_metal,Turn off verbosity in unit test,"""Adjusted LSTM test: changed train_model argument to set verbosity to False and increased readability"""
39d26df3f280f1143429900f2ba6776d17312450,alexprengere_currencyconverter,Allow CERTIFICATE_VERIFY_FAILED on some tests,"Added skip test functionality for tests that depend on specific conditions, and skipped test_remote_clear_file due to CERTIFICATE_VERIFY_FAILED error."
5696ed64bfe69a61f5c69e17656777e0b03f44ff,vstinner_perf,use pread/pwrite when available,"""Introduce os.pread and os.pwrite to optimize TurboBoostMSR read and write operations on Windows (if available), fallback to standard OS calls otherwise."""
8a5db6d00b4395387b54a8670e59935746d6254e,mozilla_treeherder,"Bug <I> - fix platform duplication on guessed platform names

Ensure HTML aggregate ids have no spaces.","Added utility functions to escape special characters in aggregate IDs, and updated getPlatformRowId and getResultsetTableId to use the new function for better sanitization of ids."
3415120182351e23170351aa59736e27fe5b7562,Drawbotics_entman,Test compiled commonjs code in integration tests,"Moved action files, schema and store modules to the lib directory
   - Refactored import paths in test/integration/actions.js and test/integration/schemas.js
   - Updated import path for reducer and middleware in test/integration/store.js"
6285df0da55825ae3bdb8b697537c53461711341,morimekta_providence,Make the binary serializer versioned by default.,Updates BinarySerializer constructor to accept an additional option for strict mode by default (true) when creating a new instance. Previously it was false. This change improves the flexibility and adherence to user preference in handling strict reading behavior.
add272fb1d446034ed3bb1001939baa3e8cd2bfb,python-cmd2_cmd2,Updated one example so it can be used properly with default_to_shell,"""Simplified command handling in Pirate class: Removed default command and moved unknown command handling to precmd function"""
0f7cb131bcab15f72519aaa92ca818067b962fcd,numenta_htmresearch,Imbu highlights for tm model,"Updated ImbuModels class: Adjusted KNN model-specific window size for HTM_sensor_simple_tp_knn and HTM_sensor_tm_simple_tp_knn models, ensuring consistent 10-length window size across all platforms (Windows)"
d0737aa5f11b09e0666b66b2659599acc7652d2c,tsuna_gohbase,"Fix cache misses for regionClientCache as well.

Change-Id: Ic5c8d<I>cce2bfee<I>aaffe<I>afade<I>f6","* Refactor region retrieval function to use get() method from cache and check if key is valid for the table, improving readability and reducing potential bugs in key handling."
a18fe813730045822e37fe8d6b9d72d452281436,antocuni_pdb,"Catch AttributeError and print ""No help"" message because some functions in
Python 3 have no doc string",Added custom 'help' command and refactored 'hidden_frames' help documentation to provide more informative error messages when using non-existent commands.
1fb7412ae52d6442813cf98730ba98bd6a936386,gebn_nibble,Change development status from planning to alpha,Bump development status to Alpha and adjust classifiers to reflect updated stage of project development
0cea31cd294f380b3b7cf46dd7a4000316b71ac1,prebid_Prebid.js,"Fix Mantis tests in negative timezone (#<I>)

Fixes #<I>","Updated Mantis adapter test to ensure timezone parameter is optional and properly formatted with potential negative values

Changes:
- Removed unnecessary check for tz parameter being present.
- Modified regular expression to accept both positive and negative timezone values."
2b4dac76b6b26bd97570a0076a365a7666ca2f63,strophe_strophejs-plugin-pubsub,discoverNodes function added to pubsub plugin,Added discovery of all nodes feature to pubsub plugin and improved error handling in publish method.
02cd7e7b1743ba5209dac2f4baed8aa8e9034b2f,dadoonet_fscrawler,"Release process is broken

When releasing we can not close the repository on sonatype because some artifacts are missing
(cherry picked from commit <I>a)","""Update build_release.py script: Add option to include Sonatype-oss-release profile and skip tests during dry run, improve clarity in comments"""
d2c451fd55c4f9f33aa48208e791b242fbe41f99,emberjs_ember.js,[FIX MASTER] Fixing failing action test on master,"Added missing `tagName` to ExampleComponent to prevent undefined errors in the test case

Note that I've added a div tag (`<div>`) as the component's tag name for proper rendering in the test case, since it was previously missing and causing issues."
c4bcdf78902b78f0825725e65963e2a312c78fba,dranjan_python-plyfile,"Remove ""file-like"" unit test

We shouldn't imply that this feature is supported.","Removed deprecated tests and refactored file_like function to use BytesIO instead of unicode, aligning with modern Python standards."
1c8eabee6fd346a367fb30102a8ad6c7ec85f2b0,oat-sa_generis,Added warning because of backward compatibility,Refactored file driver's sanitizeReadableFileName method to avoid using deprecated helpers_File::sanitizeInjectively() for compatibility reasons and added comments explaining the change.
7e4f71585fb16773acabf59ab21361b6d8d1f1a6,nion-software_nionswift,Change hardware source to be observable. Effectively was anyway.,"Bumped `HardwareSource` class to inherit from `Observable.Observable`, aligning with Nion's Swift model's design principles and enhancing its extensibility by adopting an observable pattern."
992089942acb54288ce4088ba661c03957260396,vpelletier_python-libusb1,Add warnings for upstream bug <I>.,"""Fix potential incorrect max packet size calculation in USBDevice class. The getMaxPacketSize() and getMaxIsoPacketSize() functions may not always return the expected results. Users should instead consult the endpoint descriptor of current configuration and alternate setting as per libusb ticket #77."""
d21f8019c4455effe35de12441b6638eaaf51515,duncan3dc_sql-class,"Don't output bulk inserts
They normally output way too much data to be useful, so if output is on, we switch it off, and just output a mock query with the number of rows to insert","Added bulkInsert method output handling and console feedback, adjusted error handling in mode switch case (MySQL) and reverted output setting to original state after bulk insert operation."
b8a06958dbc30bd08be46c039557bb1fc96dde75,oat-sa_extension-tao-testqti,bind event on component rather than button,"Fix typo in menu.js: Updated click event binding from $menuButton to $component, also updated comment to reflect changes."
2d2f8a8838112cf8a66201b05217fa3704c3a0e4,JNRowe_upoints,Use with statement to wrap file opens.,"Added future import for with_statement and restructured MANIFEST writing function to use 'with' statement, following best practices for Python3 coding style."
4276e970ea7b151998b5d698d6f7e2a9adfc7bd4,spatie_laravel-server-monitor,Fixed --host filter on list hosts command,Add error message when no hosts are configured and optimize filtering in ListHosts command by avoiding unnecessary function call.
d22f2286892279a5f33192b1b4fcfaf1cfedd8ec,alphagov_govuk_publishing_components,"Remove Calculators from audit

Calculators has recently been retired.",Update audit controller to remove outdated and unused Calculators application from audited paths list.
