hash,project,true_message,generated_message,cleaned_generated_message,aggressive_cleaned_generated_message
1d8f1560455aee983dd4733f3ae15c77b4f86823,jazzband_inflect,Fix file path to words.txt as it is in the same folder as test_pl_si.py, Moved test data file to root directory for consistency in naming conventions, Moved test data file to root directory for consistency in naming conventions, Moved test data file to root directory for consistency in naming conventions
736e417530a1088db9f5c190cfd2de37f0abbe82,yob_pdf-reader,"Read and parse glyph list once only, and cache the results (for performance)", Cache Adobe glyph mapping for improved efficiency in GlyphHash, Cache Adobe glyph mapping for improved efficiency in GlyphHash, Cache Adobe glyph mapping for improved efficiency in GlyphHash
4fb7541da2bc0eb273e2f9bf771cbab873eb7d43,next-l_enju_biblio,added redirect next-l/enju_leaf#<I>, Added redirection for manifestation items listing and nested resources for produces within manifestations, Added redirection for manifestation items listing and nested resources for produces within manifestations, Added redirection for manifestation items listing and nested resources for produces within manifestations
f4a7f5e406ee83b6708d6b1e042ab6213fda5b51,0k_shyaml,"fix: dev: avoid DRY, use entrypoint !minor

And fixes coverage.", refactor: removed explicit call to `main` function in favor of using `entrypoint()` for better code organization., refactor: removed explicit call to `main` function in favor of using `entrypoint()` for better code organization., refactor: removed explicit call to `main` function in favor of using `entrypoint()` for better code organization.
19bb28468b07d69e8aacfed11920d2117f253ae1,locomotivemtl_charcoal-attachment,Moved default-data merging to constructor, * Added dependency injection and defaultData handling in Attachment constructor, * Added dependency injection and defaultData handling in Attachment constructor, * Added dependency injection and defaultData handling in Attachment constructor
825d70cea1f733d3335876879b47c94dc6fa6464,saltstack_salt,"Default master config for using LocalClient w/o params

Default master config is located at /etc/salt/master:
<URL>", Update LocalClient's initialization to use new master config path, Update LocalClient's initialization to use new master config path, Update LocalClient's initialization to use new master config path
979c5cdb4388c06267533330d8c06faca1ee6d6a,oliviertassinari_react-swipeable-views,"[touch] improve swiping experience

Reset the start X position when swiping in the wrong direction.
So that the swipe right away when the user realise that is his going
in the wrong directino.", Set initial swipe start position for SwipeableViews component based on touch event location, Set initial swipe start position for SwipeableViews component based on touch event location, Set initial swipe start position for SwipeableViews component based on touch event location
be8d91f0ef07a7f16b26f211ebdc33ef7343ec1f,csstree_csstree,add support for single solidus hack for property(), Introduce fallback for single-slash hack in getPropertyInfo(), Introduce fallback for single-slash hack in getPropertyInfo(), Introduce fallback for single-slash hack in getPropertyInfo()
9f0a9969e9c71b8a56bc511e563a20f7da379011,ninja_ninja,"More Globals

Adds globals allowed for QUnit and the browser, itself.", Allows browser globals in JSHint configuration for QUnit tests., Allows browser globals in JSHint configuration for QUnit tests., Allows browser globals in JSHint configuration for QUnit tests.
15744e4894f103343fd9a42623a8bab2476ca630,phusion_passenger,Make the gem installable on mingw<I> Ruby., Removed support for MINGW on extconf.rb to prevent gem installation failure on Windows., Removed support for MINGW on extconf.rb to prevent gem installation failure on Windows., Removed support for MINGW on extconf.rb to prevent gem installation failure on Windows.
