hash,project,true_message,generated_message
4fb7541da2bc0eb273e2f9bf771cbab873eb7d43,next-l_enju_biblio,added redirect next-l/enju_leaf#<I>, Added redirect for manifestation items route to simplify access
1d8f1560455aee983dd4733f3ae15c77b4f86823,jazzband_inflect,Fix file path to words.txt as it is in the same folder as test_pl_si.py, Renamed test data file path for consistency in test_pl_si.py
736e417530a1088db9f5c190cfd2de37f0abbe82,yob_pdf-reader,"Read and parse glyph list once only, and cache the results (for performance)", Cache Adobe glyph mapping for improved efficiency in GlyphHash initialization
979c5cdb4388c06267533330d8c06faca1ee6d6a,oliviertassinari_react-swipeable-views,"[touch] improve swiping experience

Reset the start X position when swiping in the wrong direction.
So that the swipe right away when the user realise that is his going
in the wrong directino.", Set initial touch X position for SwipeableViews based on index value
f4a7f5e406ee83b6708d6b1e042ab6213fda5b51,0k_shyaml,"fix: dev: avoid DRY, use entrypoint !minor

And fixes coverage.", fix: updated `shyaml.py` to call `entrypoint()` instead of `main(sys.argv[1:])` for entry point consistency
825d70cea1f733d3335876879b47c94dc6fa6464,saltstack_salt,"Default master config for using LocalClient w/o params

Default master config is located at /etc/salt/master:
<URL>", Update LocalClient initialization to connect via master configuration file at '/etc/salt/master'
be8d91f0ef07a7f16b26f211ebdc33ef7343ec1f,csstree_csstree,add support for single solidus hack for property()," Standardize hack detection in getPropertyInfo(), handle '/' as a special case"
13b6945a456598154f76c1af8ee324faf80747f0,PMEAL_OpenPNM,changing xdf to xmf as default file extension, Enhanced filename parsing in GenericIO and XDMF classes for handling different file extensions
9f0a9969e9c71b8a56bc511e563a20f7da379011,ninja_ninja,"More Globals

Adds globals allowed for QUnit and the browser, itself.", Allows browser globals in JSHint configuration for QUnit tests.
19bb28468b07d69e8aacfed11920d2117f253ae1,locomotivemtl_charcoal-attachment,Moved default-data merging to constructor," * Inject defaultData into Attachment object via constructor

(Note that this commit message is a simplification of the actual changes made to the Attachment class, but it follows the style and context of the provided examples.)"
39d26df3f280f1143429900f2ba6776d17312450,alexprengere_currencyconverter,Allow CERTIFICATE_VERIFY_FAILED on some tests, Add error handling to test functions for certificate verification errors
15744e4894f103343fd9a42623a8bab2476ca630,phusion_passenger,Make the gem installable on mingw<I> Ruby., Prevent gem installation failure on MSYS Windows by exiting extconf.rb script when running on MINGW platform.
5696ed64bfe69a61f5c69e17656777e0b03f44ff,vstinner_perf,use pread/pwrite when available, Implemented OS system call pread/pwrite for TurboBoostMSR on Python2 to improve performance
ec6fa24e33dc7f028c67dc26380b32bb3854cb0e,HazyResearch_metal,Turn off verbosity in unit test, Adjusted LSTM test to train model silently for better testing environment
3415120182351e23170351aa59736e27fe5b7562,Drawbotics_entman,Test compiled commonjs code in integration tests, Moved Redux middleware and schema files to lib directory for better organization
8a5db6d00b4395387b54a8670e59935746d6254e,mozilla_treeherder,"Bug <I> - fix platform duplication on guessed platform names

Ensure HTML aggregate ids have no spaces.", Added escape function for platform IDs to prevent invalid characters in provider functions
0f7cb131bcab15f72519aaa92ca818067b962fcd,numenta_htmresearch,Imbu highlights for tm model, Adjusted window sizes for specified HTM sensor models in Imbu results to be constant 10.
add272fb1d446034ed3bb1001939baa3e8cd2bfb,python-cmd2_cmd2,Updated one example so it can be used properly with default_to_shell, Enhanced pirate command behavior: Removed unknown command handling for a cleaner user experience
6285df0da55825ae3bdb8b697537c53461711341,morimekta_providence,Make the binary serializer versioned by default.," Update BinarySerializer constructor to enable strict mode by default for reading. Previously, it was optional; now it is enabled when set to true."
a18fe813730045822e37fe8d6b9d72d452281436,antocuni_pdb,"Catch AttributeError and print ""No help"" message because some functions in
Python 3 have no doc string"," Implement help command for hidden frames, providing guidance on their usage"
0cea31cd294f380b3b7cf46dd7a4000316b71ac1,prebid_Prebid.js,"Fix Mantis tests in negative timezone (#<I>)

Fixes #<I>", Updated MANTIS Ad Network script parameters: added support for negative timezone values in serverCall URL.
1fb7412ae52d6442813cf98730ba98bd6a936386,gebn_nibble,Change development status from planning to alpha, Update project status to Alpha for early testing
d2c451fd55c4f9f33aa48208e791b242fbe41f99,emberjs_ember.js,[FIX MASTER] Fixing failing action test on master, Added a fixed `tagName` to ExampleComponent for a quoteless parameter test case
d0737aa5f11b09e0666b66b2659599acc7652d2c,tsuna_gohbase,"Fix cache misses for regionClientCache as well.

Change-Id: Ic5c8d<I>cce2bfee<I>aaffe<I>afade<I>f6"," Refactored `getRegion` function to use `region_key` instead of `key` for consistency in region lookup, to avoid potential confusion and improve code readability."
2b4dac76b6b26bd97570a0076a365a7666ca2f63,strophe_strophejs-plugin-pubsub,discoverNodes function added to pubsub plugin, Added discoverNodes function to retrieve all existing nodes for a given JID and service.
02cd7e7b1743ba5209dac2f4baed8aa8e9034b2f,dadoonet_fscrawler,"Release process is broken

When releasing we can not close the repository on sonatype because some artifacts are missing
(cherry picked from commit <I>a)"," Updated build_release script to include Maven profile for Sonatype OSS release, allowing automatic deployment."
992089942acb54288ce4088ba661c03957260396,vpelletier_python-libusb1,Add warnings for upstream bug <I>., Provide warnings for getMaxPacketSize and getMaxIsoPacketSize functions regarding consultating endpoint descriptor instead.
c4bcdf78902b78f0825725e65963e2a312c78fba,dranjan_python-plyfile,"Remove ""file-like"" unit test

We shouldn't imply that this feature is supported.", Removed unneccessary file-like test for Python 3 due to type unification of 'unicode' and 'str'.
1c8eabee6fd346a367fb30102a8ad6c7ec85f2b0,oat-sa_generis,Added warning because of backward compatibility, * Added custom sanitizeReadableFileName function for file names compatibility
7e4f71585fb16773acabf59ab21361b6d8d1f1a6,nion-software_nionswift,Change hardware source to be observable. Effectively was anyway., Converted HardwareSource class to inherit from Observable.Observable for better event handling and flexibility.
b8a06958dbc30bd08be46c039557bb1fc96dde75,oat-sa_extension-tao-testqti,bind event on component rather than button, Updated menu component click event handling for better compatibility and readability
d21f8019c4455effe35de12441b6638eaaf51515,duncan3dc_sql-class,"Don't output bulk inserts
They normally output way too much data to be useful, so if output is on, we switch it off, and just output a mock query with the number of rows to insert"," Added output notification for bulkInsert() in MySQL mode, improves user feedback during multiple row insertions"
758a9ce26ffa27144ae47606142964848b79424a,click-contrib_click-repl,"Add options for `repl` to disable extra commands

For my use case I do not want to allow users to run external commands
(as I need to run my CLI's REPL as a priviliged user but only want to
allow access to commands within my Click CLI), and I do not want to
handle the existing internal commands (as I am handling displaying help
and quitting myself). This commit adds parameters to `repl` which will
support both of these situations, while still retaining the existing
default behaviour in both cases."," Allowed system and internal commands in interactive shell, improved compatibility."
